sku,name,category,subcategory,price_idr,stock_status,description,specifications,image_url,product_url,tokopedia_url,shopee_url,scraped_at
153692,Intel Core i5-2400 3.1 GHz - Cache 6MB [Tray] Socket LGA 1155,Processor,Intel Core i5 Socket LGA 1155,245000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/6/f31100d7-7ae0-4a26-afe1-604b80fcf44e.png,https://enterkomputer.com/detail/153692/Intel-Core-i5-2400-31-GHz-Cache-6MB-Tray-Socket-LGA-1155,https://www.tokopedia.com/enterkomputer/intel-core-i5-2400-3-1-ghz-cache-6mb-tray-socket-lga-1155,https://shopee.co.id/product/43570421/2770474362,2026-05-10T11:17:31.822753+00:00
153852,Epson EB-1785W - ANSI LUMENS 3200 - WXGA,Projector,,14720000,in_stock,,{},,https://enterkomputer.com/detail/153852/Epson-EB-1785W-ANSI-LUMENS-3200-WXGA,,,2026-05-10T10:32:46.331553+00:00
153853,Epson EB-1795F - ANSI LUMENS 3200 - Full HD,Projector,,16100000,in_stock,,{},,https://enterkomputer.com/detail/153853/Epson-EB-1795F-ANSI-LUMENS-3200-Full-HD,,,2026-05-10T10:32:49.790790+00:00
153856,Epson EB-2065 - ANSI LUMENS 5500 - XGA,Projector,,20400000,in_stock,,{},,https://enterkomputer.com/detail/153856/Epson-EB-2065-ANSI-LUMENS-5500-XGA,,,2026-05-10T10:32:53.304507+00:00
153858,Epson EB-2155W - ANSI LUMENS 5000 - WXGA,Projector,,23030000,in_stock,,{},,https://enterkomputer.com/detail/153858/Epson-EB-2155W-ANSI-LUMENS-5000-WXGA,,,2026-05-10T10:32:56.741869+00:00
153860,Epson EB-2265U - ANSI LUMENS 5500 - WUXGA,Projector,,32270000,in_stock,,{},,https://enterkomputer.com/detail/153860/Epson-EB-2265U-ANSI-LUMENS-5500-WUXGA,,,2026-05-10T10:33:00.205274+00:00
122791,Team Elite Plus Black DDR4 PC19200 2400MHz 16GB (1x16GB) 16-16-16-39 - TPD416G2400HC1601,RAM,PC - Desktop,2875000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/29/c6a1ce7b-4c87-48ee-8862-5e1b097b4c4b.jpg,https://enterkomputer.com/detail/122791/Team-Elite-Plus-Black-DDR4-PC19200-2400MHz-16GB-1x16GB-16-16-16-39-TPD416G2400HC1601,https://tokopedia.link/FgcDIPu58Bb,https://s.shopee.co.id/7pexZqpeM6,2026-05-10T18:17:28.278377+00:00
122792,Team Elite Plus Black DDR4 PC19200 2400MHz 8GB (1x8GB) 16-16-16-39 - TPD48G2400HC1601,RAM,PC - Desktop,1150000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2019/10/28/1157156/1157156_640bc7be-1023-43a9-8fe5-02e2c1fb8b54.jpg,https://enterkomputer.com/detail/122792/Team-Elite-Plus-Black-DDR4-PC19200-2400MHz-8GB-1x8GB-16-16-16-39-TPD48G2400HC1601,https://www.tokopedia.com/enterkomputer/team-elite-plus-black-ddr4-pc19200-2400mhz-8gb-16-16-16-39,https://shopee.co.id/product/43570421/1815791650,2026-05-10T18:17:24.723624+00:00
122793,Team Elite Plus Black DDR4 PC19200 2400MHz 4GB (1x4GB) 16-16-16-39 - TPD44G2400HC1601,RAM,PC - Desktop,590000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2019/7/12/9651507/9651507_9144f30a-c881-4749-aa1d-2de4a34c01f2_800_800,https://enterkomputer.com/detail/122793/Team-Elite-Plus-Black-DDR4-PC19200-2400MHz-4GB-1x4GB-16-16-16-39-TPD44G2400HC1601,https://tokopedia.link/aw53z7cy7Bb,https://shopee.co.id/product/43570421/1140801566,2026-05-10T18:17:21.185997+00:00
122834,Team Elite Plus Black DDR3 PC12800 1600MHz 4GB (1x4GB) 11-11-11-28 - TPD34G1600HC1101,RAM,PC - Desktop,290000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/product-1/2019/7/12/9651507/9651507_c35056c0-7f48-4317-829e-82bb02c88124_800_800,https://enterkomputer.com/detail/122834/Team-Elite-Plus-Black-DDR3-PC12800-1600MHz-4GB-1x4GB-11-11-11-28-TPD34G1600HC1101,,,2026-05-10T18:18:07.406941+00:00
